Information_Score,Phrase,Newspaper
0.00012932005373311498,baseball,St. Louis University
-2.6902230955676215e-05,baseball,Boston College
-1.1646870925365741e-05,baseball,DePaul University
1.7388489974302742e-05,baseball,San Diego State University
-9.319284143795234e-06,baseball,CSU Fresno
-4.061575495536634e-05,baseball,University of California Santa Barbara
-1.54532786573671e-05,baseball,St. Edward's University
5.264911842415453e-06,baseball,Louisiana College
5.446949013125012e-05,baseball,Washington State University
1.9765117665591796e-05,baseball,Missouri State University
0.00030821571051323834,baseball,Virginia Commonwealth University
-2.4493578383456093e-05,baseball,Columbia College Chicago
6.266747665544015e-05,baseball,University of Southern Indiana
6.086908035795955e-05,baseball,West Virginia University
-8.877367959000311e-05,baseball,University of Washington
0.0007287942018504814,baseball,University of Kansas
2.8980816623837905e-05,baseball,University of Oklahoma
-7.678239000491608e-05,baseball,University of Minnesota Twin Cities
-1.5711757749194357e-05,baseball,University of Colorado Boulder
-1.0485110110572416e-05,baseball,Stanford University
-6.326262352986525e-05,baseball,"University of Tennessee, Knoxville"
-3.886945453649739e-05,baseball,James Madison University
0.0008584457916130985,baseball,CSU Sacramento
-2.6050679100621877e-05,baseball,Florida International University
0.0005732497487645586,baseball,University of Massachusetts Amherst
3.1102620531165116e-05,baseball,University of California San Diego
-7.160926560167573e-05,baseball,University of Pittsburgh
-3.804111242706768e-05,baseball,University of Michigan
8.951054007304621e-05,baseball,Montana State University Bozeman
-1.3743849770015204e-05,baseball,Ithaca College
-3.833325753150366e-06,baseball,University of Connecticut
0.0005251778086415772,baseball,University of Iowa
-2.646405746431671e-05,baseball,CSU Fullerton
0.00016513012090562678,baseball,Florida Atlantic University
-3.6907470718554815e-06,baseball,Texas A & M University
1.457078732255862e-05,baseball,Macalester College
2.5864010746622994e-05,baseball,Ohio University
9.216760090474352e-06,baseball,Claremont Colleges - Claremont McKenna
-1.663501550607357e-05,baseball,Northeastern University
3.102257641072962e-07,baseball,Marshall University
-1.1419688750762675e-05,baseball,University of Oregon
4.4296044277711994e-05,baseball,Trinity University
-2.5698633787672743e-06,baseball,Villanova University
-6.797043795502407e-06,baseball,University of California Riverside
-8.033235313024856e-06,baseball,Emerson College
-2.265954275630582e-05,baseball,University of Alabama
1.7505871765691206e-05,baseball,Grinnell College
-2.4303566962532502e-05,baseball,"University of Nebraska, Omaha"
2.9601489953897007e-05,baseball,Keene State College
-2.3100268604131554e-05,baseball,College of William and Mary
-4.474706880910165e-06,baseball,Oberlin College
1.0187326678837013e-05,baseball,Texas State University
0.000619894757235399,baseball,North Carolina State University
-2.7616037990147908e-05,baseball,Virginia Polytechnic Institute
-7.042898819539625e-06,baseball,Portland State University
0.00014030302004616123,baseball,CSU Stanislaus
1.705561294123155e-05,baseball,Loyola University Maryland
-1.5093672945552314e-05,baseball,Santa Rosa Junior College
4.088433597805814e-06,baseball,Linfield University
-2.7749567506477114e-06,baseball,"University of Wisconsin, Oshkosh"
7.705566562780816e-05,baseball,Rider University
0.0001382818398936595,baseball,Southeastern Louisiana University
1.0732333155826411e-05,baseball,Vanderbilt University
0.00029404924163057433,baseball,University of North Carolina Asheville
0.00013696253643528022,baseball,University of Maine
2.060286804514721e-05,baseball,CSU San Marcos
1.1863402552679089e-05,baseball,CSU East Bay
2.9987518025837185e-05,baseball,CSU Los Angeles
2.060286804514721e-05,baseball,Grossmont Community College
0.00036114568460431134,baseball,"California State Polytechnic University, Humboldt"
-1.2037227175282997e-06,baseball,Orange Coast College
1.8563950041034074e-05,baseball,"University of Wisconsin, La Crosse"
-0.0001077038467563113,soccer,"California Polytechnic State University, SLO"
0.0003635022889488286,soccer,Emory University
-0.00012583251333870283,soccer,University of Georgia
-3.630726221869483e-05,soccer,University of Hawaii Manoa
-8.184102057750864e-06,soccer,Suffolk University
-6.729266825160647e-05,soccer,University of Utah
2.0747181278127654e-05,soccer,Pennsylvania State University
-7.791906557407717e-05,soccer,University of Notre Dame
-6.400948525384735e-05,soccer,"University of Nebraska, Lincoln"
-2.814642079695751e-05,soccer,University of North Florida
0.00025971854647020967,soccer,Texas Christian University
-0.00010065926333811932,soccer,Eastern Illinois University
-2.652677136456413e-05,soccer,University of Massachusetts Boston
2.4456280883064818e-05,soccer,New York University
2.2236189710283797e-05,soccer,SUNY Stony Brook
-4.3174643421317836e-05,soccer,University of Chicago
-7.62437691487833e-05,soccer,University of Illinois Urbana Champaign
0.0003343708851367792,soccer,Biola University
0.00011414007360764356,soccer,Augustana College
7.967342617272214e-07,soccer,University of California Irvine
7.744878771309424e-05,soccer,Hofstra University
4.867583022788205e-05,soccer,Florida Gulf Coast University
-0.00012155922931779118,soccer,"University of Wisconsin, Madison"
-3.0845865538279456e-05,soccer,Northern Illinois University
-1.6041608121040667e-05,soccer,University of Texas San Antonio
0.00042593586817277055,soccer,Marquette University
-2.208435878650301e-05,soccer,University of Miami
-4.963312494170772e-05,soccer,University of California Davis
-2.818572607582917e-05,soccer,University of Rochester
5.5347465481228104e-05,soccer,St. Louis University
-3.3882610295898784e-05,soccer,Boston College
0.00021296466330874731,soccer,San Diego State University
-4.037724031418076e-05,soccer,Oklahoma State University
-6.383890045560584e-05,soccer,University of California Santa Barbara
0.00034978634396086396,soccer,St. Edward's University
6.629744360504075e-05,soccer,Louisiana College
5.8363856817833883e-05,soccer,Washington State University
-3.5033003530529874e-05,soccer,Virginia Commonwealth University
-1.0938176838169426e-05,soccer,University of Southern Indiana
6.641827892680365e-05,soccer,West Virginia University
0.0002737579149027969,soccer,John Carroll University
-6.141856225331717e-05,soccer,University of Washington
-3.186240940472452e-05,soccer,University of Kansas
-3.8212178412080336e-05,soccer,University of Oklahoma
-9.772352802558377e-05,soccer,University of Minnesota Twin Cities
6.4644578810299745e-06,soccer,University of Colorado Boulder
3.7947404089662604e-05,soccer,Stanford University
0.00029643159241861687,soccer,Occidental College
-6.034629961786794e-05,soccer,James Madison University
0.00044639092651902346,soccer,CSU Sacramento
-3.303105844084444e-05,soccer,Florida International University
-8.437191744927766e-05,soccer,University of Massachusetts Amherst
3.957429035724344e-05,soccer,University of California San Diego
0.00017332112887155437,soccer,Seattle University
0.003958318798560937,soccer,CSU Chico
-0.00016735058866143254,soccer,University of Michigan
-4.3335367592965626e-05,soccer,University of Connecticut
5.867533364871173e-05,soccer,University of Iowa
-1.0206181737947732e-05,soccer,Rowan University
2.3529295774735e-05,soccer,CSU Fullerton
3.477808951617251e-06,soccer,Muhlenberg College
1.0644391474046801e-05,soccer,Florida Atlantic University
1.8883631406400433e-05,soccer,Regis University
-2.3200398352211092e-05,soccer,Quinnipiac University
0.0006881312971204457,soccer,Macalester College
0.0016741916974931496,soccer,Simpson College
0.000276418822890329,soccer,Ohio University
0.00018176336353147658,soccer,University of North Alabama
0.000714528846533961,soccer,Claremont Colleges - Claremont McKenna
0.0003343337899639139,soccer,Moorpark College
7.030377999938796e-05,soccer,University of North Carolina Charlotte
3.6946846103923175e-06,soccer,Northeastern University
-1.1581038579596291e-05,soccer,University of Oregon
2.7148838571041794e-06,soccer,Villanova University
-1.5013614653247423e-05,soccer,Emerson College
0.0008493351877800071,soccer,University of Alabama
0.00024690807040173956,soccer,University of Montana
-1.3904127525162945e-05,soccer,Grinnell College
3.918166453706984e-05,soccer,Amherst College
0.00012596884720482307,soccer,"University of Nebraska, Omaha"
-1.9672101065299973e-05,soccer,Southern Methodist University
-2.146154685715052e-06,soccer,Emporia State University
-2.4894416848463624e-05,soccer,Oberlin College
0.0007958284322533917,soccer,Texas State University
-1.719107637582793e-05,soccer,University of Mary Washington
-2.690115174595491e-05,soccer,North Carolina State University
0.0021641080832057237,soccer,Virginia Polytechnic Institute
-1.2459588324636315e-06,soccer,Georgia State University
0.00010047399908394479,soccer,Bradley University
-3.455163920673889e-05,soccer,Swarthmore College
0.0010649091615636509,soccer,Santa Rosa Junior College
0.00011384568957262085,soccer,Linfield University
0.00013322398540397545,soccer,"University of Wisconsin, Oshkosh"
